rank,utterance_length,word_count,utterance,speaker,filename,filepath
11939,53,11,Ask her to bring these things with her from the store,69fs,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/024_xaud.txt
11940,53,11,She had your dark suit in greasy wash water all year.,69fs,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/035_xsil.txt
11941,53,11,She had your dark suit in greasy wash water all year.,69fs,085_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/085_cal.txt
11942,53,11,She had your dark suit in greasy wash water all year.,69fs,088_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/088_cal.txt
11943,53,11,She had your dark suit in greasy wash water all year.,69fs,233_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/69fs/233_cal.txt
11944,53,11,She had your dark suit in greasy wash water all year.,70ms,002_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/002_cal.txt
11945,53,11,Ask her to bring these things with her from the store,70ms,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/024_xaud.txt
11946,53,11,She had your dark suit in greasy wash water all year.,70ms,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/035_xsil.txt
11947,53,11,She had your dark suit in greasy wash water all year.,70ms,074_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/074_cal.txt
11948,53,11,She had your dark suit in greasy wash water all year.,70ms,077_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/077_cal.txt
11949,53,12,Perhaps the time has come to put the cup in a museum.,70ms,125_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/125_aud.txt
11950,53,11,We have to be sure that the taxation system can work.,70ms,178_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/178_aud.txt
11951,53,11,She had your dark suit in greasy wash water all year.,70ms,209_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/209_cal.txt
11952,53,11,She had your dark suit in greasy wash water all year.,71fi,002_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/002_cal.txt
11953,53,11,Ask her to bring these things with her from the store,71fi,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/024_xaud.txt
11954,53,11,She had your dark suit in greasy wash water all year.,71fi,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/035_xsil.txt
11955,53,11,She had your dark suit in greasy wash water all year.,71fi,081_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/081_cal.txt
11956,53,11,She had your dark suit in greasy wash water all year.,71fi,084_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/084_cal.txt
11957,53,8,They said construction work could begin within weeks.,71fi,128_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/128_aud.txt
11958,53,11,She had your dark suit in greasy wash water all year.,71fi,202_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/202_cal.txt
11959,53,11,She had your dark suit in greasy wash water all year.,72fe,002_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/002_cal.txt
11960,53,11,Ask her to bring these things with her from the store,72fe,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/024_xaud.txt
11961,53,11,She had your dark suit in greasy wash water all year.,72fe,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/035_xsil.txt
11962,53,11,"However, he said it would be likely to bring a chill.",72fe,092_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/092_aud.txt
11963,53,11,She had your dark suit in greasy wash water all year.,72fe,099_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/099_cal.txt
11964,53,11,She had your dark suit in greasy wash water all year.,72fe,102_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/102_cal.txt
11965,53,11,She had your dark suit in greasy wash water all year.,72fe,254_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/254_cal.txt
11966,53,11,She had your dark suit in greasy wash water all year.,73fe,002_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/002_cal.txt
11967,53,11,Ask her to bring these things with her from the store,73fe,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/024_xaud.txt
11968,53,11,She had your dark suit in greasy wash water all year.,73fe,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/035_xsil.txt
11969,53,10,"A warm breeze played across it, moving it like waves.",73fe,059_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/059_aud.txt
11970,53,11,She had your dark suit in greasy wash water all year.,73fe,093_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/093_cal.txt
11971,53,11,She had your dark suit in greasy wash water all year.,73fe,096_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/096_cal.txt
11972,53,7,Domestic Disturbance is currently on general release.,73fe,182_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/182_aud.txt
11973,53,11,She had your dark suit in greasy wash water all year.,73fe,209_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/73fe/209_cal.txt
11974,53,11,She had your dark suit in greasy wash water all year.,74ms,002_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/002_cal.txt
11975,53,11,Ask her to bring these things with her from the store,74ms,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/024_xaud.txt
11976,53,11,She had your dark suit in greasy wash water all year.,74ms,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/035_xsil.txt
11977,53,11,She had your dark suit in greasy wash water all year.,74ms,093_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/093_cal.txt
11978,53,11,She had your dark suit in greasy wash water all year.,74ms,096_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/096_cal.txt
11979,53,11,She had your dark suit in greasy wash water all year.,74ms,220_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/220_cal.txt
11980,53,11,She had your dark suit in greasy wash water all year.,75fe,002_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/002_cal.txt
11981,53,11,Ask her to bring these things with her from the store,75fe,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/024_xaud.txt
11982,53,11,She had your dark suit in greasy wash water all year.,75fe,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/035_xsil.txt
11983,53,11,"In my place, you'd follow such advice as you give me?",75fe,053_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/053_aud.txt
11984,53,11,She had your dark suit in greasy wash water all year.,75fe,079_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/079_cal.txt
11985,53,11,She had your dark suit in greasy wash water all year.,75fe,082_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/082_cal.txt
11986,53,11,She had your dark suit in greasy wash water all year.,75fe,207_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/207_cal.txt
11987,53,11,She had your dark suit in greasy wash water all year.,76fe,002_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/002_cal.txt
11988,53,11,Ask her to bring these things with her from the store,76fe,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/024_xaud.txt
11989,53,11,She had your dark suit in greasy wash water all year.,76fe,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/035_xsil.txt
11990,53,11,She had your dark suit in greasy wash water all year.,76fe,102_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/102_cal.txt
11991,53,11,She had your dark suit in greasy wash water all year.,76fe,105_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/105_cal.txt
11992,53,11,She had your dark suit in greasy wash water all year.,76fe,217_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/76fe/217_cal.txt
11993,53,11,She had your dark suit in greasy wash water all year.,77ms,001_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/001_cal.txt
11994,53,11,Ask her to bring these things with her from the store,77ms,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/024_xaud.txt
11995,53,11,She had your dark suit in greasy wash water all year.,77ms,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/035_xsil.txt
11996,53,11,She had your dark suit in greasy wash water all year.,77ms,085_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/085_cal.txt
11997,53,11,She had your dark suit in greasy wash water all year.,77ms,088_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/088_cal.txt
11998,53,11,Next it comes to be Lazarus's turn to bring the wood.,77ms,208_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/208_aud.txt
11999,53,11,She had your dark suit in greasy wash water all year.,77ms,212_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/212_cal.txt
12000,53,11,She had your dark suit in greasy wash water all year.,78ms,002_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/002_cal.txt
12001,53,11,She had your dark suit in greasy wash water all year.,78ms,005_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/005_cal.txt
12002,53,11,Ask her to bring these things with her from the store,78ms,027_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/027_xaud.txt
12003,53,11,She had your dark suit in greasy wash water all year.,78ms,038_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/038_xsil.txt
12004,53,11,She had your dark suit in greasy wash water all year.,78ms,070_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/070_cal.txt
12005,53,11,She had your dark suit in greasy wash water all year.,78ms,073_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/073_cal.txt
12006,53,10,Every time I play I do not understand their reaction.,78ms,113_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/113_aud.txt
12007,53,11,Two years of building a business will go up in smoke.,78ms,126_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/126_aud.txt
12008,53,11,It is likely the rest of the market will follow suit.,78ms,156_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/156_aud.txt
12009,53,11,She had your dark suit in greasy wash water all year.,78ms,203_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/203_cal.txt
12010,53,11,She had your dark suit in greasy wash water all year.,79fe,002_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/002_cal.txt
12011,53,11,Ask her to bring these things with her from the store,79fe,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/024_xaud.txt
12012,53,11,She had your dark suit in greasy wash water all year.,79fe,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/035_xsil.txt
12013,53,10,"Since then, they have fallen by more than two thirds.",79fe,087_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/087_aud.txt
12014,53,11,She had your dark suit in greasy wash water all year.,79fe,111_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/111_cal.txt
12015,53,11,She had your dark suit in greasy wash water all year.,79fe,114_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/114_cal.txt
12016,53,11,"Search was made for a cold chisel, but to no purpose.",79fe,230_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/230_aud.txt
12017,53,11,She had your dark suit in greasy wash water all year.,79fe,239_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/239_cal.txt
12018,53,11,She had your dark suit in greasy wash water all year.,80me,002_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/002_cal.txt
12019,53,11,Ask her to bring these things with her from the store,80me,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/024_xaud.txt
12020,53,11,She had your dark suit in greasy wash water all year.,80me,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/035_xsil.txt
12021,53,11,She had your dark suit in greasy wash water all year.,80me,095_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/095_cal.txt
12022,53,11,She had your dark suit in greasy wash water all year.,80me,099_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/099_cal.txt
12023,53,11,She had your dark suit in greasy wash water all year.,80me,224_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/224_cal.txt
12024,53,11,She had your dark suit in greasy wash water all year.,81ms,002_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/002_cal.txt
12025,53,11,Ask her to bring these things with her from the store,81ms,024_xaud,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/024_xaud.txt
12026,53,11,She had your dark suit in greasy wash water all year.,81ms,035_xsil,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/035_xsil.txt
12027,53,7,Daphne's Swedish needlepoint scarf matched her skirt.,81ms,056_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/056_aud.txt
12028,53,9,Halifax has also been mentioned as a likely predator.,81ms,072_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/072_aud.txt
12029,53,11,She had your dark suit in greasy wash water all year.,81ms,118_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/118_cal.txt
12030,53,11,She had your dark suit in greasy wash water all year.,81ms,121_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/121_cal.txt
12031,53,11,She had your dark suit in greasy wash water all year.,81ms,124_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/124_cal.txt
12032,53,8,Everyone is working together to resolve the problems.,81ms,188_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/188_aud.txt
12033,53,7,Marcella replied that she could certainly understand.,81ms,213_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/213_aud.txt
12034,53,11,She had your dark suit in greasy wash water all year.,81ms,237_cal,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/237_cal.txt
12035,54,11,He really crucified him; he nailed it for a yard loss.,01fi,065_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/01fi/065_aud.txt
12036,54,10,"Apart from that, they would not be making any comment.",01fi,169_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/01fi/169_aud.txt
12037,54,10,We decided we would go for a specialist inside centre.,03mn,093_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/03mn/093_aud.txt
12038,54,11,"But you have some special point in your mind, I think.",03mn,181_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/03mn/181_aud.txt
12039,54,11,He plans to call for an aid package from Mr MacDonald.,04me,114_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/04me/114_aud.txt
12040,54,8,"He really has everything, including a beautiful swing.",04me,146_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/04me/146_aud.txt
12041,54,11,People could have a post box in the local post office.,06fe,099_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/06fe/099_aud.txt
12042,54,9,"Anyway, even if they didn't it wouldn't have mattered.",06fe,119_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/06fe/119_aud.txt
12043,54,10,Friends said he had suffered a blackout two weeks ago.,06fe,137_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/06fe/137_aud.txt
12044,54,9,"Usually, they titter loudly after they have passed by.",07me,057_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/07me/057_aud.txt
12045,54,9,This market has been neglected by the whisky industry.,08me,088_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/08me/088_aud.txt
12046,54,10,It is beyond the government to deal with this tragedy.,10me,147_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/10me/147_aud.txt
12047,54,10,"Because of this, he feels the hearing had been unfair.",10me,152_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/10me/152_aud.txt
12048,54,10,Further new equity was raised in a placing in January.,10me,168_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/10me/168_aud.txt
12049,54,10,The new scheme will have its own terms and conditions.,12me,116_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/12me/116_aud.txt
12050,54,8,Last year's gas shortage caused steep price increases.,13fs,050_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/13fs/050_aud.txt
12051,54,12,We have also seen the power of faith at work among us.,13fs,060_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/13fs/060_aud.txt
12052,54,12,I have already told you that we do not sell at retail.,13fs,214_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/13fs/214_aud.txt
12053,54,10,"But not me it won't, said William Roper with emphasis.",13fs,226_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/13fs/226_aud.txt
12054,54,8,"Materials: ceramic modelling clay: red, white or buff.",16fe,060_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/16fe/060_aud.txt
12055,54,9,That brought a wonderful marriage of bass and soprano.,17ms,080_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/17ms/080_aud.txt
12056,54,11,These men are all walking around the wreck in a bunch.,17ms,185_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/17ms/185_aud.txt
12057,54,8,"It's about bringing people in, breaking down barriers.",19fs,089_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/19fs/089_aud.txt
12058,54,10,She slipped and sprained her ankle on the steep slope.,22me,047_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/22me/047_aud.txt
12059,54,8,Smuggling is an increasing problem for the Government.,22me,112_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/22me/112_aud.txt
12060,54,7,"Crooked, overlapping, twisted, or widely spaced teeth.",25fs,053_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/25fs/053_aud.txt
12061,54,9,None of them said anything tending to his vindication.,25fs,205_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/25fs/205_aud.txt
12062,54,10,One of the most common of camp maladies was diarrhoea.,26fs,056_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/26fs/056_aud.txt
12063,54,9,Like a fair number of bootleggers he disliked alcohol.,26fs,060_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/26fs/060_aud.txt
12064,54,10,"More likely, perhaps, is that he will stay in England.",26fs,092_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/26fs/092_aud.txt
12065,54,10,Mr Marshall is expected to join the council of Europe.,26fs,117_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/26fs/117_aud.txt
12066,54,10,The morale of the Yugoslav army is beginning to crack.,27fs,106_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/27fs/106_aud.txt
12067,54,7,Pledge to participate in Nevada's aquatic competition.,28ms,052_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/28ms/052_aud.txt
12068,54,11,"They said to me, Why don't you get into acting, Tommy?",28ms,150_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/28ms/150_aud.txt
12069,54,10,Lottery money was intended to be used for good causes.,30me,114_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/30me/114_aud.txt
12070,54,11,"If we cannot succeed in this endeavour, then so be it.",31ms,099_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/31ms/099_aud.txt
12071,54,7,The easygoing zoologist relaxed throughout the voyage.,33me,048_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/33me/048_aud.txt
12072,54,12,"""But what do we want a second cart for?"" Mitya put in.",33me,199_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/33me/199_aud.txt
12073,54,9,"""Denton has been married but five months,"" said Patsy.",33me,225_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/33me/225_aud.txt
12074,54,11,And you should never find it hard to say your prayers.,35fs,195_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/35fs/195_aud.txt
12075,54,9,Flanker Gordon Simpson may also feature in that match.,36fs,176_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/36fs/176_aud.txt
12076,54,9,"Lane Fleming's death is on record as accidental, Jeff.",36fs,192_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/36fs/192_aud.txt
12077,54,11,"When peeling an orange, it is hard not to spray juice.",41me,049_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/41me/049_aud.txt
12078,54,10,"He was outstanding today, the best player on the park.",41me,125_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/41me/125_aud.txt
12079,54,9,"After that, the Scottish Parliament will run the show.",42fe,175_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/42fe/175_aud.txt
12080,54,8,The sermon emphasised the need for affirmative action.,43fs,046_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/43fs/046_aud.txt
12081,54,12,He has a lot of experience as a captain in his career.,44fs,131_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/44fs/131_aud.txt
12082,54,12,I think the guilty ones speak for the whole lot of us.,46fs,136_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/136_aud.txt
12083,54,10,"If you're a national company, you must provide it all.",46fs,147_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/147_aud.txt
12084,54,10,Perhaps a Mohawk scout was talking with the war party.,46fs,213_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/46fs/213_aud.txt
12085,54,10,"Surely, if anything, it would be the other way around.",47ms,106_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/47ms/106_aud.txt
12086,54,9,"After that date, the numbers should stabilise or fall.",47ms,135_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/47ms/135_aud.txt
12087,54,11,"""Let me have a look at those papers,"" said Mr Lindsey.",47ms,198_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/47ms/198_aud.txt
12088,54,9,England were ahead until two minutes into injury time.,49fe,157_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/49fe/157_aud.txt
12089,54,9,"No, it wasn't supposed to do that, officials admitted.",50ms,156_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/156_aud.txt
12090,54,10,"Uncle Sam, I am nobody's ladyship, least of all yours.",50ms,207_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/50ms/207_aud.txt
12091,54,9,The lack of joint action left many analysts concerned.,51fe,163_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/51fe/163_aud.txt
12092,54,10,Why couldn't they have dumped him off on someone else?,54mn,060_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/54mn/060_aud.txt
12093,54,9,Every player goes through this after a serious injury.,55fs,090_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/55fs/090_aud.txt
12094,54,11,He raised the profile of the European Tour to the sky.,55fs,153_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/55fs/153_aud.txt
12095,54,11,"I have given up everything, and what good have I done?",59fe,190_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/59fe/190_aud.txt
12096,54,10,He is particularly happy with the size of the gallery.,60ms,160_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/60ms/160_aud.txt
12097,54,9,"Besides, Ruth could hear her sobbing under her breath:",60ms,187_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/60ms/187_aud.txt
12098,54,10,It's the traumatic event in the childhood of a nation.,61fs,085_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/085_aud.txt
12099,54,12,"""I have too much work to do here at home,"" he replied.",61fs,188_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/188_aud.txt
12100,54,10,"Road crosses the creek frequently, and the mud is bad.",61fs,197_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/61fs/197_aud.txt
12101,54,11,"But, at the same time, they made you think about life.",62me,134_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/62me/134_aud.txt
12102,54,9,"Under Alex Ferguson, Aberdeen showed it could be done.",63me,123_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/63me/123_aud.txt
12103,54,11,The weight. of the package was seen on the high scale.,64me,043_sil,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/043_sil.txt
12104,54,11,The weight. of the package was seen on the high scale.,64me,077_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/64me/077_aud.txt
12105,54,10,Ashamed of loving in the presence of all these people.,66fs,198_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/66fs/198_aud.txt
12106,54,10,"It was served by sheriff officers, not by the council.",70ms,104_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/70ms/104_aud.txt
12107,54,8,"For this government, reform and resources go together.",71fi,102_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/102_aud.txt
12108,54,10,That moment when the monster is being brought to life.,71fi,155_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/71fi/155_aud.txt
12109,54,11,She said she could not believe that they had run away.,72fe,113_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/113_aud.txt
12110,54,12,I have never heard a rule that you could be too young.,72fe,149_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/149_aud.txt
12111,54,11,It may prove to be his last involvement with the club.,72fe,161_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/161_aud.txt
12112,54,11,What is known becomes as much an abyss as the unknown.,72fe,234_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/72fe/234_aud.txt
12113,54,10,"Mr Blair is the problem in Scotland, not the solution.",74ms,101_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/101_aud.txt
12114,54,8,It also indicated that her condition had deteriorated.,74ms,174_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/174_aud.txt
12115,54,9,This would indicate a surge in inflation was unlikely.,74ms,180_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/180_aud.txt
12116,54,10,No one at all can question it who thinks consistently.,74ms,187_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/74ms/187_aud.txt
12117,54,10,This is a good incentive for both parties to conclude.,75fe,099_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/099_aud.txt
12118,54,11,Results of the survey are expected by the end of June.,75fe,115_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/75fe/115_aud.txt
12119,54,8,They are determined to make a meaningful contribution.,77ms,090_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/090_aud.txt
12120,54,9,"""It comes from eating too much toffee,"" said Georgina.",77ms,192_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/77ms/192_aud.txt
12121,54,10,His blue eyes sought the shimmering sea of haze ahead.,78ms,067_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/067_aud.txt
12122,54,8,"Thankfully, there were no reports of anything serious.",78ms,114_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/78ms/114_aud.txt
12123,54,9,There is no other solution to congestion in Edinburgh.,79fe,140_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/79fe/140_aud.txt
12124,54,10,"The orchestra is quite good, but the hall is terrible.",80me,104_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/104_aud.txt
12125,54,11,"In fact, curiosity has nothing on earth to do with it.",80me,194_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/80me/194_aud.txt
12126,54,9,"""Yes, deary"", said Mrs Boffin, laying aside her shawl.",81ms,211_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/81ms/211_aud.txt
12127,55,8,His massive advantage was never under threat yesterday.,04me,157_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/04me/157_aud.txt
12128,55,10,"It will be a happy release, especially for his nephews.",04me,182_aud,/home/ultraspeech-dev/ultrasuite/TaL80/core/04me/182_aud.txt
